x,y,RA,DEC,F814W,F475W
793.678,1687.669,49.6323644,41.1752769,25.278,26.61916
2500.646,1270.165,49.6122941,41.187354,25.239,26.53144
3923.96,2231.358,49.610722,41.2062187,25.352,27.55736
3923.96,2231.358,49.610722,41.2062187,25.352,27.03536
2398.06,1355.38,49.6142412,41.1871127,21.267,23.36312
2024.93,403.01,49.6065412,41.1774619,21.02,24.9872
3343.97,4172.19,49.6384366,41.2142787,21.039,24.77652
1073.99,1785.05,49.6310355,41.1784554,21.156,24.12096
3851.24,2338.61,49.6126583,41.2063858,21.15,25.63108
751.57,3354.36,49.6520936,41.186182,21.256,23.982
2725.42,3968.4,49.6415959,41.2075169,21.208,24.53952
1595.03,2679.13,49.636744,41.1890028,21.24,24.37432
2099.16,416.64,49.6060364,41.1782005,21.967,22.88224
115.94,1347.8,49.6345186,41.1671657,21.252,25.32476
2864.82,1584.06,49.6127235,41.1927178,21.41,24.79488
2584.32,3978.36,49.6429707,41.2063534,21.501,24.62604
683.18,2885.15,49.6472671,41.1824352,21.634,24.68364
345.44,3080.42,49.6525426,41.1808012,21.655,24.42972
789.7,3773.77,49.6566136,41.1893303,21.85,25.29056
314.37,786.72,49.6262501,41.1651275,21.976,26.33528
778.68,1826.2,49.6341472,41.176157,22.164,26.56156
3798.48,1215.34,49.6001157,41.1983791,22.074,24.77796
2982.7,1249.62,49.6077969,41.1914986,22.235,24.84964
2609.1,1292.69,49.6116311,41.1885312,22.132,26.02264
1843.79,3626.4,49.6455006,41.1975328,22.194,25.82132
1455.46,4111.37,49.6545862,41.1974027,22.476,26.99652
3339.47,3290.92,49.6282629,41.208321,22.353,25.46064
282.03,3813.57,49.6616035,41.1851702,22.372,26.17796
3489.74,2480.96,49.6175355,41.2041907,22.394,25.90648
679.36,2437.31,49.6421127,41.1793948,23.27,23.93468
2377.65,1176.38,49.61235,41.1857323,22.524,25.76504
2895.34,1623.23,49.6129048,41.193247,22.624,25.3384
3182.17,4048.88,49.6384517,41.2120399,22.917,24.6338
2662.65,3286.59,49.6342545,41.2023909,22.726,26.641
2501.63,743.31,49.6062271,41.1839035,22.793,26.66508
317.83,3682.35,49.6597636,41.1846015,22.794,25.6592
2175,1274.82,49.6152992,41.184627,22.802,26.3864
3906.02,1736.95,49.6051982,41.2028212,22.822,26.27648
218.62,232.89,49.6206909,41.1605727,22.881,25.65224
2814.52,3535.2,49.63578,41.2053847,22.864,26.5006
3076.69,2812.73,49.6250675,41.2028182,22.873,25.87392
1139.5,1808.94,49.6307277,41.179187,22.997,26.738
3767.77,381.73,49.5907341,41.1925099,23.122,27.6576
551.17,3149.74,49.6515105,41.1830606,23.126,27.012
2479.81,2488.41,49.6266377,41.1954361,23.093,26.75048
4109,1260.37,49.5978643,41.2013883,23.237,26.78544
2894.52,1470.39,49.6111416,41.1922131,23.315,25.98648
2172.55,2474.82,49.6292227,41.192666,23.48,28.00052
3411.71,3157.33,49.6260698,41.2080536,24.381,24.57588
3685.42,470.8,49.5925011,41.1923907,23.429,26.71412
1182.27,1510.35,49.6268873,41.1775545,23.506,27.16696
892.63,653.47,49.6195473,41.1692738,23.617,28.1468
3930.94,932.98,49.595662,41.1976364,23.709,28.04972
1019.71,1860.94,49.6323989,41.1784918,23.742,28.57688
758.37,277.89,49.616396,41.1655804,23.705,27.86708
1953.63,746.27,49.6111531,41.1791465,24.051,25.3502
2886.25,3215.42,49.6314339,41.2038625,23.92,27.77236
332.18,750.45,49.6256712,41.1650391,23.84,27.33508
381.32,1828.08,49.6377141,41.172705,23.861,27.16236
3160.5,3743.21,49.6351023,41.2097982,23.957,27.35928
3751.83,2930.19,49.6204009,41.2094931,24.078,27.39444
2802.17,2057.07,49.6187626,41.1953492,24.094,27.56936
2491.59,737.34,49.6062476,41.1837759,24.094,27.342
1342.41,4065.29,49.6550608,41.1961075,24.34,25.87932
842,3796.6,49.6564115,41.1899397,24.432,25.92028
1731.84,3736.1,49.6477709,41.1972932,24.266,28.18796
3703.97,2743.53,49.6186652,41.2078221,24.214,26.99452
3052.07,3949,49.6384554,41.2102348,24.245,27.84448
3933.42,229.37,49.5874901,41.1929297,24.344,28.34484
2711.41,552.42,49.6021434,41.1844495,24.473,26.98904
3152.7,3190.88,49.6287709,41.2060208,24.682,26.33616
1119.47,3707.01,49.6528978,41.1917579,24.641,26.46336
39.94,867.44,49.6296333,41.163277,24.6,26.6648
195.93,1436.12,49.634828,41.1684563,24.702,27.12988
3433.6,1448.26,49.6060721,41.1967636,25.246,25.82252
2467.88,3703.42,49.6408235,41.2034919,25.632,25.72944
3569.25,283.82,49.5913729,41.1901217,25.724,25.8458
157.08,1406.72,49.6348341,41.1679201,26,25.89096
3860.49,3806.55,49.6295872,41.2163267,25.093,26.82488
510.43,3437.98,49.6552138,41.1846405,25.256,26.66656
1805.49,4194.19,49.6524228,41.2010112,25.097,26.69664
2765.97,811.81,49.6046606,41.1866679,25.213,26.61544
1537.84,2952.51,49.6404219,41.19034,25.141,26.76152
1005.94,3247,49.6485802,41.1876793,25.151,26.82256
3054.58,199.87,49.5949963,41.1850718,25.819,26.49992
43.97,3181.5,49.6564029,41.1788508,25.439,26.59436
1318.64,3910.33,49.653477,41.1948598,25.371,26.97412
1382.83,1540.56,49.6254475,41.1795059,25.268,27.12748
1443.65,3402.18,49.6464729,41.1925381,25.205,28.09572
3473.72,3091.32,49.6247512,41.2081508,25.948,26.52916
2385.35,824.08,49.6082006,41.1834326,25.358,26.98548
3819.01,2337.12,49.6129288,41.2060948,25.37,27.22368
3241.96,1463.11,49.6079553,41.1951929,26.582,26.43004
1457.91,3812.55,49.6511012,41.1954178,25.477,26.94092
2684.97,2255.46,49.6221074,41.1956601,25.658,26.92124
153.22,3827.79,49.6629172,41.1841423,25.381,27.40636
3198.52,1184.16,49.6051117,41.1929401,26.026,26.548
784.86,972.61,49.6242051,41.1704779,25.518,27.01672
3962.94,1980.47,49.6075113,41.2049534,25.734,27.0274
3489.28,3797.41,49.6327954,41.2130288,25.602,27.12392
3447.51,1954.6,49.611814,41.2002866,25.577,27.2764
1538.57,782.8,49.6152807,41.1757737,25.64,27.07608
721.83,921.81,49.6241791,41.1695872,25.622,27.16712
1171.93,3779.82,49.6532735,41.1927042,25.712,27.19796
1629.36,515.36,49.6113731,41.1747685,25.601,27.45468
1632.63,120.49,49.606771,41.1721441,26.059,27.66908
3826.08,955.2,49.5968558,41.1968717,26.203,27.0266
977.49,2949.99,49.6453926,41.185437,25.824,27.16728
734.4,3607.71,49.6551826,41.1877332,25.831,27.42252
1055.98,3724.43,49.6536662,41.1913212,25.872,27.50876
4084.64,4020.31,49.6300635,41.2197166,25.976,27.2462
601.95,3376.27,49.6536823,41.1850243,25.946,27.35772
3907.55,231.09,49.5877411,41.1927158,25.826,27.94996
533.37,3107.28,49.6511773,41.1826203,26.353,27.687
3733.05,3940.74,49.6322803,41.2161168,26,27.5544
2147.91,2915.81,49.6345523,41.1954128,25.993,27.46736
1268.74,3029.91,49.64372,41.1885132,25.93,27.66536
3764.63,612.52,49.5934353,41.1940334,26.086,27.37012
277.21,1305.75,49.6325929,41.1682894,26.01,28.15484
1154.74,2015.12,49.6329801,41.1807046,26.165,27.43172
501.42,838.53,49.6251813,41.1671062,26.059,27.6018
3999.6,3195.23,49.6212601,41.2134335,26.165,27.4584
2351.73,789.18,49.6080965,41.182905,26.421,27.53576
