x,y,RA,DEC,F814W,F475W
545.444,4054.863,49.6036564,41.7468445,25.294,26.773
682.019,1151.428,49.5553736,41.7650769,25.146,26.387
745.5,1393.88,49.5599349,41.7645962,22.114,25.882
1689.74,703.75,49.5553984,41.7804838,22.008,25.342
2810.76,3819.05,49.616883,41.7769809,22.065,24.156
198.96,2629.85,49.5767704,41.750647,22.027,24.202
1077.67,2620.02,49.5832982,41.7618385,22.124,25.398
3337.28,3093.95,49.6085787,41.7877769,22.182,25.285
766.35,3698.38,49.5992437,41.7517628,22.332,26.374
3752.1,2645.26,49.6041176,41.795585,22.338,26.06
1725.68,2535.47,49.5868002,41.770531,22.382,26.251
1331.7,3326.9,49.597243,41.761039,22.24,24.945
665.73,1154.53,49.5552604,41.7649447,22.401,26.168
1183.95,1599.96,49.5667763,41.7689823,22.564,27.159
376.26,3616.69,49.5948832,41.7472842,22.345,25.492
1965.1,1546.75,49.5718235,41.7791845,22.427,26.068
3230.85,1776.09,49.5853692,41.7939217,22.425,25.79
644.63,2286,49.5743241,41.7582491,22.308,25.246
445.96,216.22,49.537642,41.7674875,22.769,23.341
496.13,1124.07,49.5534513,41.7629682,22.733,26.848
4018.1,337.51,49.5669141,41.8120739,23.181,23.27
4066.47,1371.32,49.5848602,41.8068118,22.668,23.928
680.69,3185.15,49.5898733,41.7535954,22.695,26.322
955.23,366.63,49.5440752,41.7730886,22.723,24.183
1662.03,2708.03,49.589247,41.7687435,22.828,26.542
3139.3,2345.38,49.5943471,41.7895251,22.744,25.784
132.38,2397.1,49.5723095,41.7511259,22.764,26.083
4003.91,159.95,49.5637867,41.8129029,22.867,26.566
3630.79,3705.16,49.6212045,41.7880188,22.896,26.274
2348.49,2032.32,49.5829975,41.7812836,23.055,27.121
1088.1,1509.2,49.5645039,41.7682831,22.918,26.581
2476.46,1149.05,49.5689609,41.7879249,23.018,26.764
1011.03,3962.74,49.6055991,41.7533598,22.986,26.649
842.21,1490.31,49.56231,41.7652741,22.869,25.441
3900.06,3243.63,49.615416,41.7940562,22.948,24.456
2901.41,225.58,49.5565006,41.7985569,23.034,26.422
2968.4,2809,49.6009228,41.7847233,23.032,24.325
3057.87,950.27,49.5700129,41.7964228,23.095,26.127
2253.51,3654.07,49.6098296,41.7708588,23.198,26.524
3265.91,2934.08,49.6053175,41.7877818,23.215,26.169
2440.71,1729.66,49.5785567,41.7841725,23.291,27.012
2329.23,1931.84,49.5811431,41.7816106,23.294,26.847
1929.67,2718.83,49.5914706,41.7720736,23.316,26.653
3800.14,4203.19,49.6309595,41.7873305,23.195,25.181
939.02,3582.09,49.5985846,41.754612,23.35,26.737
1302.69,3056.19,49.5924231,41.7622105,23.233,24.748
1097.62,1380.3,49.5623861,41.7691361,23.435,26.832
453.75,1508.06,49.5596531,41.7602499,23.304,24.654
1258.16,1062.84,49.5582141,41.7729742,23.405,26.695
29.27,426.89,49.5380504,41.7610097,23.311,25.112
3835.49,1950.41,49.592943,41.8005928,23.644,27.794
2562.41,3072.34,49.6023015,41.7780814,23.602,27.427
614.84,3651.71,49.5972963,41.7501083,23.472,24.778
2856.04,3620.13,49.6138487,41.7786863,23.571,27.022
3948.26,2758.5,49.6075387,41.7974265,23.501,26.448
3572.59,3908.5,49.6242156,41.7861244,23.343,25.479
1222.07,1740.17,49.5694492,41.7686687,23.613,27.341
3978.45,2980.25,49.6115379,41.7965477,23.666,27.419
2005.5,4075.91,49.6151044,41.7653168,23.599,26.858
1987.75,3764.38,49.6096769,41.7668639,23.682,27.272
705.34,41.87,49.5366532,41.7717651,23.778,27.695
1612.8,695.85,49.5546781,41.7795535,23.691,27.201
2890.11,292.93,49.5575596,41.7980312,23.664,26.602
74.59,633.99,49.5419145,41.7604083,23.629,25.512
1825.34,1189.56,49.5646882,41.7794427,23.643,26.161
698.76,931.87,49.5517283,41.766628,23.624,25.218
3807.65,2757.67,49.6064519,41.7956495,23.906,27.93
572.48,2182.02,49.572008,41.7579256,23.645,25.284
1981.2,2971.15,49.5961505,41.771292,23.928,27.774
3596.52,942.03,49.5739787,41.8032961,23.82,25.111
2846.01,1219.85,49.5729807,41.792206,23.76,26.248
3181.02,1010.68,49.5719785,41.7976403,24.032,27.855
3239.93,171.94,49.5581681,41.8031521,23.851,25.139
2150.78,2003.7,49.5810041,41.7789407,24.059,28.012
1105.86,272.06,49.5436147,41.7755349,23.946,27.409
2593.62,452.62,49.5580153,41.7933663,23.859,25.255
10.99,187.54,49.5338439,41.7621367,23.8,25.518
3368.3,2891.3,49.6053715,41.7893225,24.288,24.574
2644.86,2913.17,49.6002256,41.7800313,23.978,26.972
3557.98,1494.56,49.5830779,41.7996675,23.894,25.453
3818.09,3491.24,49.6189985,41.791609,24.039,27.068
2545.02,1579.84,49.5768054,41.7863458,23.969,25.358
3198.06,238.68,49.5589837,41.8022423,23.967,25.642
3559.67,201.12,49.5611008,41.8070388,24.004,25.332
3385.82,2144.12,49.5928063,41.7937933,24.124,26.942
4173.21,4216.01,49.6340251,41.791984,24.085,25.366
198.04,1450.33,49.5567251,41.7573369,24.046,25.849
1766.23,568.51,49.5536824,41.7822214,24.101,25.343
2465.41,2410.42,49.5903141,41.7806159,24.123,26.63
2976.6,1547.04,49.5795376,41.7920016,24.164,25.338
3638.94,253.8,49.5626007,41.8077441,24.164,25.825
3398.5,975.3,49.5730348,41.8005975,24.335,27.692
3377.72,1946.1,49.5893788,41.7948164,24.193,25.946
1326.83,565.23,49.5502801,41.7766708,24.266,27.116
3066.06,177.13,49.5569315,41.800919,24.217,25.623
3198.63,3614.68,49.6163696,41.783058,24.182,25.905
2124.79,3655.97,49.6088802,41.769217,24.309,27.302
2176.13,560.4,49.5566669,41.7874627,24.208,26.222
1241.84,1271.45,49.5616349,41.7715823,24.817,25.549
1557.86,2322.62,49.5819046,41.7696142,24.333,26.497
2778.96,423.76,49.5589369,41.7958793,24.292,25.983
989.27,3276.68,49.5937798,41.7569853,24.506,25.556
3162.15,3064.33,49.6067395,41.7857263,24.561,26.648
3300.5,2745.61,49.6023784,41.789292,24.45,25.873
2801.71,1864.71,49.5836037,41.7879797,24.498,25.963
990.05,269.25,49.5426852,41.7740829,24.486,26.093
4060.49,903.61,49.5768627,41.8093944,24.515,26.233
1227.22,2648.69,49.5849249,41.7635708,24.518,26.265
3026.5,3737.56,49.6171443,41.780178,24.565,26.041
1791.44,1181.83,49.5642985,41.779057,24.604,26.451
2398.81,1398.91,49.572616,41.7855211,24.623,26.021
1955.92,1370.72,49.568762,41.7800684,24.596,26.212
3709.99,150.77,49.5613904,41.8092299,24.607,26.256
477.59,3758.27,49.5980601,41.7477632,24.596,26.126
