x,y,RA,DEC,F814W,F475W
658.109,542.96,49.9290168,41.7111791,25.205,26.82804
2221.565,594.56,49.9263509,41.7282797,22.621,24.02828
1208.588,1739.397,49.9452593,41.7191216,25.427,26.65332
1439.668,2404.48,49.9544535,41.7227203,25.335,26.75736
1354.243,3466.868,49.9701329,41.7235196,25.434,27.00716
1003.258,928.938,49.9338902,41.7155654,25.216,26.93184
3131.461,1153.449,49.9325126,41.7390949,24.545,25.63792
3964.669,2134.956,49.9450095,41.7497641,25.337,26.91248
3166.074,2661.218,49.9544305,41.7419293,25.249,26.74444
3381.988,3153.3,49.9611378,41.7450806,25.077,27.32644
2680.319,2109.693,49.9474461,41.7357437,25.495,27.11456
98.61,2178.12,49.954056,41.7077789,21.603,23.97752
1773.53,655.71,49.9281996,41.723527,21.523,25.4786
2054.21,3379.99,49.9673174,41.731021,21.62,26.49896
3432.28,3903.51,49.9719499,41.7468724,21.721,24.31128
4060.04,1434.39,49.934558,41.7496837,21.732,25.00784
2530.85,260.59,49.920781,41.7311246,21.722,25.99544
264.84,1015.16,49.9367379,41.7076929,21.764,25.23356
1745.85,1511.65,49.9407421,41.7246219,21.822,25.244
2524.25,1739.16,49.9423598,41.733465,21.894,25.52132
717.71,1860.38,49.9480723,41.7139998,21.976,25.05116
2110.07,3478.53,49.9686329,41.7317893,21.984,25.70876
2624.71,1280.29,49.9354477,41.7338102,22.041,25.19736
3912.23,4094.1,49.9736843,41.7524065,22.041,25.43516
1598.53,1610.21,49.9425012,41.7231791,22.07,26.04416
359.29,556.72,49.9298479,41.707973,22.19,25.25008
812.69,3950.04,49.9783362,41.7184344,22.208,25.52328
1695.59,105.48,49.9203465,41.7217805,22.245,25.4524
3820.71,3832.79,49.9700713,41.7509854,22.369,26.62852
901.6,769.41,49.9317636,41.7142225,22.355,25.6204
1917.64,594.24,49.9269881,41.7249952,22.49,28.10092
1524.98,3710.37,49.9732893,41.7257979,22.436,27.19316
1041.64,3891.97,49.9769907,41.7208321,22.378,25.5448
605.73,1053.16,49.9365472,41.7114651,22.506,25.13804
1301.45,1800.13,49.9459194,41.7202552,22.442,25.2956
3759.6,1856.27,49.9413692,41.7471016,22.408,26.15132
1307.18,1042.61,49.9348608,41.7190825,22.501,25.81164
3629.25,2371.47,49.9491698,41.7465225,22.64,24.97276
895.83,51.91,49.9213149,41.7129887,22.633,26.34848
598.42,862.8,49.9337878,41.7110751,22.593,26.20292
2597.69,236.19,49.9202789,41.7318122,22.669,25.96688
267.26,3415.51,49.9717298,41.7116284,22.827,27.6352
2718.22,1537.16,49.9389898,41.7352468,22.78,27.29008
1025.24,1882.28,49.9477204,41.7173827,22.993,24.94296
506.66,3155.45,49.9674162,41.7138112,22.862,26.46148
3954.39,3263.62,49.9614757,41.7515143,22.921,26.95664
1174.24,1499.66,49.9418158,41.7183808,22.98,25.9612
115.64,762.43,49.9333793,41.7056568,23.058,25.38264
798.18,1915.01,49.9486932,41.7149646,23.192,28.70084
3683.83,2552.35,49.9516894,41.7474112,22.952,26.24176
924.48,1796.73,49.9466929,41.7161466,23.094,25.74692
