x,y,RA,DEC,F814W,F475W
161.552,210.114,49.2950923,41.3326274,25.335,26.905
3036.435,1849.827,49.3084508,41.3774874,25.408,26.902
2926.898,2235.941,49.3158778,41.3776094,25.25,27.044
3407.396,2605.723,49.319807,41.3854975,25.476,26.81
3234.298,2694.444,49.3223183,41.3835615,24.365,26.501
3490.727,2849.775,49.3236722,41.3875996,25.032,27.404
3051.801,2866.469,49.3263545,41.3818405,25.35,26.98
2919.779,3049.697,49.3303143,41.3808353,24.802,26.455
2867.396,3710.475,49.3422913,41.3828346,25.143,27.281
3841.19,2092.724,49.3083696,41.3891624,25.455,26.944
3463.583,2644.948,49.3201954,41.3864035,25.466,27.305
3373.188,2902.857,49.3252507,41.3862558,24.811,26.91
2677.07,1786.47,49.309296,41.3724259,22.223,26.777
458.29,2157.97,49.3279304,41.3444859,22.216,26.298
609.27,2676.33,49.3362772,41.3486048,22.3,23.257
953.39,2509.98,49.3314654,41.352495,22.063,24.943
938.46,2591.47,49.3329878,41.3526292,22.128,25.414
3685.29,754.28,49.285548,41.381594,22.135,25.324
2598.32,2514.3,49.3226003,41.374351,22.194,23.582
4005.87,2892.5,49.3216373,41.3945808,22.151,25.279
1705.6,1576.83,49.310872,41.3586734,22.264,26.146
3336.17,2221.82,49.3134125,41.3829529,22.153,25.288
3643.6,1289.16,49.295238,41.3832258,22.322,23.618
2644.7,3409.82,49.3381924,41.3786198,22.509,27.068
2548.87,272.7,49.2832175,41.3645411,22.523,27.208
3877.81,2318.57,49.3121776,41.3905384,22.519,26.941
2347.38,3242.44,49.3368468,41.3739898,22.315,25.673
848.36,3267.31,49.3454309,41.3541889,22.396,26.175
2610.81,2440.81,49.3212323,41.3742169,22.279,25.115
3820.51,4063.97,49.343378,41.3968982,22.322,23.959
3932.77,3590.85,49.3343941,41.3964593,22.405,26.005
3430.09,4194.29,49.3478063,41.3922459,22.281,24.961
973.83,3864.31,49.3553096,41.3582883,22.367,25.893
1270.46,677.06,49.2973266,41.3492229,22.383,24.043
1488.03,3396.9,49.3442486,41.3632102,22.403,25.899
2823.86,1083.62,49.296064,41.3715045,22.41,25.586
153,2578.92,49.3370331,41.3421498,22.491,26.04
1010.97,3493.94,49.3485564,41.3572718,22.685,26.558
1703,1899.39,49.3165913,41.3599555,22.694,26.665
3391,1017.12,49.2918003,41.3787614,22.596,25.767
2492.73,3658.38,49.3434163,41.3776156,22.601,24.025
1552.47,613.62,49.2946703,41.3527074,22.598,25.861
1230.22,94.82,49.2872501,41.3463103,22.677,25.928
2278.52,1689.04,49.3097405,41.3667372,22.766,25.976
3120.01,3224.83,49.3323355,41.3841758,22.726,24.126
2103.39,1657.1,49.3101282,41.3642819,22.769,26.152
3190.65,2508.86,49.3192828,41.3821925,22.716,24.131
2062.29,2208.23,49.3201005,41.3659858,22.724,24.189
211.27,935.01,49.3076486,41.3362155,22.962,27.375
777.85,4072.18,49.3600506,41.3565332,22.886,26.335
1362.59,2666.22,49.3320052,41.358565,22.906,26.241
2016.88,3642.55,49.3457215,41.3712332,22.877,24.214
903.79,754.81,49.3006962,41.3446729,22.877,26.007
359.37,1352.11,49.3142182,41.3398843,22.968,26.531
1326.93,2777.1,49.3341602,41.3585438,23.03,26.527
3307.83,2293.12,49.3148282,41.3828677,22.978,24.386
229.7,3560.01,49.3539672,41.347168,23.233,27.068
3665.61,2637.91,49.3189829,41.3890246,23.067,24.651
2249.26,2463.07,49.323592,41.3695079,23.237,26.904
3552.37,3389.36,49.3328965,41.3905871,23.139,24.599
3436.57,1624.8,49.3023032,41.3818483,23.309,26.853
462.04,353.13,49.295997,41.3371683,23.255,26.391
2244.1,4004.76,49.3508958,41.3757266,23.129,26.141
3354.88,3301.87,49.3324219,41.3876083,23.25,24.568
2771.74,2068.99,49.313779,41.3748359,23.32,24.671
4151.39,3024.94,49.3231897,41.3970531,23.33,24.692
3901.36,604.74,49.2817256,41.3838511,23.417,26.96
3597.18,3283.99,49.3307881,41.3907522,23.403,26.437
276.67,2270.43,49.330906,41.3425335,23.294,25.083
3057.05,2462.11,49.3191823,41.3802281,23.382,24.678
300.5,3113.27,49.3456818,41.346287,23.557,27.513
3445.83,2749.7,49.3221565,41.3865631,23.285,24.878
56.21,727.87,49.3048296,41.3333113,23.332,24.921
765.57,1353.81,49.3120398,41.3452837,23.516,26.896
3928.06,842.09,49.2857794,41.3851754,23.509,26.741
1896.67,3180.58,49.3382017,41.3677536,23.376,25.771
3419.52,2987.25,49.326503,41.387183,23.486,24.792
1873.33,3222.52,49.3390705,41.3676147,23.552,26.641
3474.7,2583.68,49.3190617,41.3862689,23.472,24.875
993.54,1235.45,49.3087071,41.3478269,23.616,26.909
2138.64,1833.23,49.3130519,41.3654689,23.713,27.467
1804.01,284.59,49.2874827,41.3547023,23.546,26.372
2327.55,2837.74,49.3297946,41.3720758,23.714,27.478
3516.17,2682.82,49.3205904,41.387224,23.507,25.031
427.71,3432.52,49.3506373,41.3492774,23.759,27.584
3126.69,2492.68,49.3193444,41.3812774,23.562,24.997
1476.14,76.28,49.2855837,41.3494989,23.754,27.514
1704.36,1412.4,49.3079705,41.3579857,23.778,27.326
3317.18,2410.04,49.3168461,41.383469,23.612,25.043
3552.47,3034.82,49.3266218,41.3891421,23.658,25.057
3230.04,700.28,49.2870717,41.3753303,23.881,27.864
2891.86,419.3,49.2839429,41.3696931,23.689,26.363
3683.89,3013.36,49.3255274,41.3907993,23.658,25.156
3395.04,2537.2,49.3186726,41.3850216,23.705,25.129
2916.96,3071.69,49.3307297,41.3808554,23.802,25.152
3379.82,2432.33,49.3168998,41.3843916,23.717,25.102
3645.84,4104.51,49.3450449,41.3947444,23.747,25.192
3947.05,2733.38,49.3191414,41.3931506,23.744,25.289
1389.47,197.41,49.2881974,41.3488434,23.906,27.365
3110.21,362.69,49.2817525,41.3723602,23.873,27.045
3604.29,1261.7,49.2949662,41.3825918,23.826,25.117
3217.68,3081.83,49.3292742,41.3848892,23.832,25.241
3209.11,2601.55,49.3208225,41.3828158,23.823,25.737
3454.25,3171.75,49.329579,41.3883968,23.897,25.252
2840.95,3459.3,49.3380013,41.3814271,24.041,27.364
3185.93,2771.11,49.3239487,41.3832,23.891,25.268
1640.5,3965.96,49.3534877,41.3675543,23.947,25.279
1023.89,490.22,49.2953643,41.3451866,23.951,25.231
