x,y,RA,DEC,F814W,F475W
637.538,1250.407,49.9239981,41.1987145,25.279,26.50184
1399.286,1061.366,49.9131805,41.2016061,25.35,26.85356
2220.04,2093.48,49.9114615,41.2160856,22.062,24.32864
90.89,2724.8,49.9425337,41.2089456,22.009,27.52364
2207.88,2093.52,49.9116102,41.2160121,21.914,25.19332
3267.09,1610.17,49.8947836,41.2180071,21.96,25.03052
2151.58,342.48,49.8981638,41.1995978,22.005,26.08704
1629.15,3184.71,49.9274826,41.2225116,22.085,24.7588
1751.02,1896.26,49.9155917,41.211427,22.591,23.8322
3718.61,4294.1,49.9109428,41.2453843,22.474,23.98084
3367.57,796.56,49.8869914,41.2111484,22.658,23.75884
3868.47,832.85,49.8811716,41.214522,22.178,24.89472
3289.02,4054.38,49.9142504,41.2405752,22.159,25.48704
3710.91,4107.2,49.9095273,41.2436221,22.225,26.90908
3635.02,3134.54,49.902599,41.2342335,22.213,25.52944
1854.3,3914.25,49.9306279,41.2305744,22.205,25.81724
3458.15,3312.13,49.9061918,41.2347896,22.397,26.27488
2181.34,1389.1,49.9062476,41.2093854,22.443,26.76052
723.43,3731.51,49.9429495,41.2220267,22.518,25.76484
266.61,2132.59,49.9356077,41.2045789,22.548,25.83196
1217.67,3837.45,49.9377755,41.2260019,22.728,25.89248
3017.88,4120.21,49.9180915,41.2395326,22.671,26.0756
1863.21,1040.01,49.9073111,41.2042494,22.965,27.71636
3007.07,4096.81,49.9180344,41.2392522,22.854,26.00572
2908.91,4020.83,49.9186188,41.2379586,22.902,26.17204
68.74,2594.14,49.9417486,41.207612,22.931,26.60124
579.14,869.06,49.9215945,41.1948819,23.012,27.46756
3285.63,1320.58,49.8922201,41.2154614,22.937,26.26388
61.37,3262.05,49.9472333,41.213696,23.087,27.54256
4035.37,2910.53,49.8959037,41.2346081,23.016,26.409
3079.57,2418.71,49.9035987,41.2242903,23.057,26.96272
3697.35,2923.26,49.9001324,41.2326727,23.064,26.05216
3895.13,721.54,49.8799481,41.213662,23.126,26.75912
1701.8,790.02,49.9072626,41.2009747,23.047,26.70216
2427.45,1215.2,49.9018412,41.2092836,23.12,26.48052
240.75,2704.75,49.9405438,41.2096722,23.202,25.609
3012.17,678.22,49.8903732,41.2079046,23.154,26.19088
44.21,1729.86,49.9350682,41.199532,23.28,26.89572
2706.02,1136.75,49.8978091,41.210255,23.828,25.01932
1245.99,3860.55,49.9376165,41.2263859,23.309,26.90616
2872.72,908.75,49.893935,41.2091741,23.329,26.36356
3812.2,2806.47,49.8977876,41.2322979,23.324,27.0592
1746.89,3613.14,49.9295064,41.2271586,23.591,25.4818
2725.95,923.19,49.8958424,41.2084156,23.682,25.27932
2134.63,2217.88,49.913508,41.2167086,23.509,27.5052
2889.4,2513.95,49.9066883,41.2240097,23.447,27.17176
3130.27,209.22,49.8851479,41.2043161,23.543,28.0496
3044.25,2196.34,49.9022345,41.2220347,23.583,25.78584
1098.67,1833.63,49.9230444,41.20689,23.475,26.80188
1146.67,3968.18,49.9396978,41.2267701,23.477,26.9222
1385,3616.41,49.9339483,41.2249901,23.57,27.02216
2773.72,3379.28,49.9150873,41.2312495,23.584,27.27976
2829.71,3169.66,49.9127112,41.2296656,25.25,24.73264
1334.42,3662.54,49.9349381,41.2251062,23.627,26.36228
302.89,2685.66,49.9396317,41.2098745,23.698,26.14096
582.49,1176.35,49.9240342,41.1977224,23.755,27.583
260.1,1397.81,49.9297542,41.1977964,23.737,27.3214
858.41,3216.04,49.9371389,41.2181168,23.733,26.74784
1834.62,3330.72,49.9261548,41.2250998,23.744,27.253
1467.81,2794.28,49.926298,41.2179485,23.843,26.41588
1613.64,3482.36,49.9300759,41.225149,24.133,25.62592
228.06,812.84,49.9254225,41.1922334,23.973,28.03184
803.17,2821.31,49.9346247,41.2141589,23.916,26.9494
2913.06,3570.36,49.9149299,41.2338495,23.987,27.54472
228.37,794.03,49.9252669,41.1920626,24.011,27.8274
3175.8,3018.82,49.9072695,41.2303829,24.35,25.80232
1257.97,4070.72,49.9391682,41.2283873,24.196,28.43928
1380.31,1076.89,49.9134998,41.2016553,24.591,25.67676
1866.2,2781.31,49.9213326,41.2202494,24.21,28.52056
40.19,2837.84,49.9440651,41.2096748,24.511,25.8682
3432.9,4181.44,49.9135204,41.2426152,24.555,25.93424
1137.29,3801.69,49.9384673,41.2251854,24.568,25.96696
1227.84,2208.69,49.9244969,41.2111167,24.558,26.02656
137.47,3230.34,49.9460489,41.2138675,24.824,26.01532
1721.66,1272.09,49.9109112,41.20552,25.359,25.64436
1323.81,3638.81,49.9348759,41.2248239,24.664,26.19984
2407.33,2284.13,49.9107154,41.2189728,24.795,26.20556
3083.57,4272.1,49.9185166,41.2413256,24.766,26.14872
40.66,2874.7,49.9443571,41.2100158,24.545,28.71404
2474.4,699.25,49.8971044,41.2048327,25.358,25.77444
714.88,3734.61,49.9430788,41.2220032,24.523,28.49716
325.23,3314.64,49.9444396,41.2157819,24.907,26.23172
3035.23,877.55,49.8917003,41.2098743,25.064,26.23908
3066.76,3367.97,49.9114196,41.2329253,25.379,26.06108
3574.02,1669.74,49.8915187,41.2204173,25.654,26.07508
2146.01,698.57,49.9011054,41.2028326,24.899,26.68192
783,531.12,49.9163804,41.1930186,24.804,28.12624
1388.83,3895.18,49.9361535,41.2275716,24.989,26.72088
2348.37,3821.99,49.9238536,41.232729,25.476,26.27524
2249.27,1119.84,49.9032455,41.2073264,25.154,26.44508
1150.22,3813.63,49.938406,41.2253735,25.344,26.36828
2050,332.56,49.899323,41.19889,25.229,26.52124
2751.29,3521.84,49.9165123,41.2324217,25.139,26.7572
3677.79,954.04,49.8844765,41.2144772,25.501,26.60648
3022.69,4209.89,49.9187571,41.2403849,25.329,26.71984
2968.66,3307.19,49.9121261,41.2317717,25.367,26.66272
2001.15,2965.78,49.9211756,41.2227621,25.62,26.52016
3470.05,4177.79,49.9130375,41.2428073,25.394,26.71756
3014,1051.01,49.8933592,41.2113377,25.832,26.41896
1637.26,1260.02,49.9118434,41.2048966,26.065,26.3782
1565.96,107.66,49.9034129,41.1938866,25.137,28.12864
1495.71,2551.25,49.9239951,41.2158876,25.978,26.4362
1882.62,4028.63,49.9312063,41.2317961,25.471,26.92796
2541.34,1103.4,49.8995493,41.208949,25.778,26.5958
2892.45,1865.92,49.9014197,41.2180801,25.668,26.76768
2904.9,1501.22,49.898324,41.214808,25.899,26.595
630.98,3239.62,49.9401039,41.2169513,26.484,26.63016
682.92,2405.06,49.93273,41.2096085,25.31,28.2332
3489.86,4216.89,49.9131115,41.2432864,25.661,27.198
3717.66,2336.94,49.8951511,41.227414,25.635,27.14416
2918.58,1875,49.9011741,41.2183221,25.681,27.02544
1612.28,2134.19,49.9192053,41.2127681,25.767,26.98732
605.59,1283.45,49.9246171,41.1988456,26.428,26.73888
2434.85,142.48,49.8930942,41.1994818,25.696,27.32348
3271.46,1115.86,49.8907409,41.2134961,25.662,27.17
1394.41,1039.29,49.9130243,41.2013959,25.865,26.89624
2759.36,3090.44,49.9129301,41.2285112,25.648,27.12004
2009.9,2984.07,49.9212166,41.2229831,25.452,28.49584
3414.69,3099.15,49.9050025,41.2325708,26.465,26.94872
82.27,470.32,49.9244356,41.1882044,25.751,27.1778
1306.32,1255.66,49.9158454,41.2028467,25.611,27.51572
2199.64,3934.06,49.9265738,41.2328541,26.474,26.7988
3738.02,3801.24,49.9067254,41.2409785,26.226,27.0786
253,2230.62,49.9365653,41.2053958,25.554,28.52244
1148.8,2977.37,49.9316686,41.2176908,26.682,26.79104
2218.72,4060.53,49.9273626,41.2341306,25.789,27.40024
1261.58,1113.33,49.9152422,41.2012687,25.94,27.31924
