x,y,RA,DEC,F814W,F475W
110.014,190.845,49.4542243,41.5525601,25.092,26.671
2316.783,274.198,49.4628823,41.5225812,25.246,26.765
1994.035,397.986,49.4591727,41.5264974,25.429,26.448
392.545,618.843,49.4478306,41.5472839,25.055,26.418
3351.836,737.925,49.459311,41.5070572,24.851,26.21
4109.341,922.852,49.4594729,41.496228,25.008,26.085
3622.293,1335.225,49.4498243,41.5013603,25.145,26.709
1720.154,2354.034,49.4227596,41.5234383,22.464,24.688
1787.646,3835.331,49.396455,41.5174161,25.018,26.453
1079.963,4030.491,49.3896827,41.5262617,25.182,26.591
1837.716,3207.93,49.4079584,41.5189094,25.488,26.913
2340.669,357.197,49.4615006,41.5219739,22.233,23.848
2249.71,530.821,49.4579619,41.5225997,25.38,26.712
1530.687,2738.19,49.4149832,41.5246615,25.189,26.521
2913.26,2129.39,49.4323228,41.508174,19.679,22.676
2785.55,3905.96,49.3998195,41.5037602,19.706,23.528
1271.78,3372.59,49.4024194,41.5259665,19.8,22.168
212.45,2815.78,49.4075392,41.5421402,19.785,23.281
1381.44,2065.07,49.4264213,41.5290046,19.872,22.534
2375.13,3157.92,49.4113649,41.5118646,19.906,23.546
3513.78,3698.07,49.4069115,41.4946815,20.299,21.492
2848.69,3612.63,49.4053797,41.5039238,20.061,22.677
807.67,2365.48,49.4183776,41.5356871,20.018,23.239
2906.29,3514.58,49.4074066,41.5034875,20.024,23.27
1312.99,2848.56,49.4120261,41.5272216,20.158,22.691
346.93,1600.21,49.4300088,41.5445261,20.114,23.589
1868.99,439.04,49.4578894,41.5280507,20.191,23.445
3030.94,222.39,49.4671281,41.5131629,20.213,22.922
765.34,3525.96,49.3973267,41.5322496,20.276,22.777
2899.51,2608.61,49.4236502,41.5067059,20.333,23.347
1612.38,2806.93,49.4141546,41.5233376,20.346,23.628
3017.92,2375.64,49.4283809,41.5059166,20.359,23.117
2526.12,4076.63,49.3955571,41.5066606,20.454,22.453
3234.7,717.11,49.4591761,41.5087173,20.502,22.405
950.38,3225.46,49.4035806,41.5307983,20.602,23.318
3432.5,1227.19,49.4509218,41.5042985,20.6,23.602
359.65,1354.85,49.434478,41.5452013,20.627,24.145
2221.99,2020.01,49.4311039,41.5178515,20.699,23.708
167.36,3236.13,49.3997759,41.5412951,20.709,23.764
2279.31,1044.28,49.4489009,41.5204445,20.775,23.101
2295.89,1872.61,49.4340929,41.5173657,20.799,23.384
404.15,2723.63,49.4100797,41.5398795,20.824,23.839
2104.17,1144.87,49.4462871,41.5224542,20.836,23.899
673.07,833.38,49.4452958,41.5427824,20.83,23.982
503.11,3993.81,49.3877088,41.5341607,20.97,24.488
2208.21,435.44,49.459515,41.523499,20.981,24.816
1234.8,2711.65,49.4141258,41.5287461,21.084,25.427
870.03,3444.1,49.3992809,41.5311241,20.936,23.872
1951.46,2312.25,49.4246064,41.520483,21.024,24.586
3685.09,691.4,49.4617097,41.5027459,21.049,23.729
3792.21,2718.65,49.4257859,41.4943162,21.062,24.592
761.56,3700.92,49.3941652,41.531696,20.988,23.437
3988.07,1672.97,49.4454704,41.4952872,21.019,24.136
2324.42,3258.68,49.4093209,41.5121989,21.28,22.413
3178.91,2924.31,49.4192663,41.5018576,21.278,24.814
253.81,2406.18,49.4150921,41.5429979,21.11,23.407
3842.52,2853.39,49.4235976,41.4931745,21.103,23.723
3098.23,2842.33,49.4203672,41.5032259,21.226,24.839
3853.58,1982.32,49.4392946,41.4960302,21.197,24.525
2501.2,1466.96,49.4423272,41.5160021,21.183,24.213
2962.83,2822.47,49.4201,41.505116,21.204,24.506
616.88,1803.17,49.4276048,41.5401942,21.427,22.582
1918.52,3088.77,49.410502,41.5182461,21.242,24.539
702.16,2483.84,49.4157639,41.5366981,21.297,25.016
2700.96,1102.45,49.4497965,41.5145709,21.276,24.876
843.33,137.06,49.458597,41.5428912,21.277,24.846
2894.16,2106.33,49.4326491,41.5085105,21.328,24.814
372.34,892.29,49.4428517,41.5466255,21.281,23.828
2342.69,139.95,49.4654441,41.5227073,21.549,25.144
1971.06,2568.67,49.4200892,41.5193345,21.59,25.075
3047.38,3327.85,49.4114113,41.5022342,21.558,24.504
1467.45,791.16,49.4497125,41.53224,21.576,25.252
3951.73,3381.62,49.4146135,41.4898823,21.615,24.85
978.49,2477.82,49.4171462,41.5330013,21.566,24.993
1334.86,3308.56,49.403861,41.525339,21.663,23.329
3471.85,815.08,49.4585068,41.505189,21.64,24.573
2496.21,1740.08,49.4373968,41.5151276,21.63,24.811
1974.51,3555.73,49.4023704,41.5158804,21.65,25.039
3889.64,3771.98,49.4073167,41.4893699,21.68,25.157
2396.45,1816.96,49.435556,41.5162046,21.729,25.424
1054.8,1066.11,49.4428705,41.5368442,21.722,25.429
1936.39,2699.36,49.4175812,41.5193499,21.651,24.491
1562,206.76,49.4606516,41.5329814,21.797,25.852
3008.4,4012.64,49.3989311,41.5003938,21.738,25.021
3410.27,1609.9,49.443944,41.5032785,21.869,25.85
1446.74,2239.63,49.4235853,41.5275238,21.988,25.802
3644.66,3893.05,49.404013,41.4922475,21.738,24.175
458.07,790.12,49.4450833,41.5458242,21.774,24.957
3812.63,1142.44,49.4541934,41.499476,21.833,25.316
1430.24,3466.02,49.4014716,41.5235121,21.774,24.554
2790.06,596.44,49.4592988,41.5151156,21.845,25.219
513.63,1111.04,49.4395702,41.5439703,21.852,24.602
3850.01,2457.56,49.4307418,41.4944393,21.998,25.377
3820.59,969.36,49.4573393,41.4999653,21.874,24.533
1988.68,2243.64,49.4260107,41.5202189,22.004,25.651
2314.21,720.89,49.454873,41.5210893,21.876,24.476
4151.23,3935.62,49.4055838,41.4852857,22.119,26.266
3721.42,2611.54,49.4273838,41.4956381,21.999,24.835
143.17,1092.13,49.4382034,41.5490197,22.021,25.188
1089.78,576.76,49.4518275,41.5380603,22.113,25.556
3454.03,1261.92,49.450397,41.5038891,22.109,25.223
3870.96,3752.46,49.4075812,41.4896886,22.163,25.306
2087.36,982.19,49.4491331,41.5232411,22.147,25.152
1016.75,1551.69,49.4339675,41.5356818,22.291,26.095
861.64,302.57,49.455706,41.5420746,22.282,25.772
2036.18,256.72,49.4619354,41.5264292,22.277,25.953
627.8,1581.43,49.4316408,41.5408121,22.183,25.223
2000.57,1895.95,49.4323131,41.5212584,22.244,25.66
2516.88,3381.46,49.4080025,41.5091859,22.258,25.75
1817.53,1751.29,49.4340695,41.5242199,22.214,25.126
1982.69,663.32,49.4543818,41.5257482,22.247,25.127
648.76,1237.24,49.4379242,41.5417171,22.298,25.574
622.44,209.95,49.4562699,41.5456121,22.424,23.892
4009.71,2683.61,49.4274171,41.491511,22.566,26.37
190.52,2352.48,49.4157655,41.5440347,22.472,24.111
3836.46,2284.29,49.4337916,41.4952192,22.573,25.846
2918.61,2820.11,49.4199387,41.5057191,22.487,24.964
2203.05,1081.1,49.4478882,41.5213436,22.526,25.666
893.06,2205.02,49.4216552,41.5350921,22.743,26.379
2980.16,2477.64,49.4263746,41.5060727,22.81,27.191
2941.18,3685.76,49.4044926,41.5024271,22.708,26.207
290.72,1688.25,49.4281672,41.5449787,22.7,25.714
583.17,695.39,49.4473623,41.5444676,22.838,26.781
927.5,3811.54,49.3929432,41.5290816,22.718,25.937
388.32,222.49,49.4549666,41.5487189,22.902,26.773
842.62,339.26,49.4549589,41.5422041,23.039,23.823
832.47,1706.88,49.4303291,41.5376259,22.829,25.781
1975.62,3587.94,49.4017969,41.5157542,22.857,25.793
3200.08,3612.28,49.4070062,41.4991979,22.884,25.848
3689.98,3876.58,49.4045178,41.4916947,22.84,24.669
2313.21,883.3,49.4519498,41.5205432,23.059,26.905
2706.75,3957.02,49.3985389,41.5046439,22.993,26.008
757.74,3702.45,49.3941201,41.5317421,22.963,26.141
3645.98,2849.61,49.4227601,41.4958317,23.024,26.298
1431.73,3643.85,49.3982832,41.5228778,23.014,26.397
884.98,1046.67,49.4424378,41.5391961,23.162,27.201
3783.24,3342.82,49.4145339,41.4922829,23.007,25.998
296.22,1691.15,49.4281404,41.5448947,23.082,26.462
1944.33,3412.21,49.4048098,41.5167821,23.035,24.626
171.26,1122.59,49.4377852,41.5485368,23.078,24.44
1841.27,1212.8,49.4438559,41.5257572,23.117,25.497
835.21,208.75,49.4572709,41.5427534,23.347,27.876
1077.78,616.38,49.4510601,41.5380852,23.256,24.203
2843.02,4107.34,49.3964673,41.5022914,23.053,25.184
4092.44,997.67,49.4580812,41.49621,23.167,24.514
3662.1,766.4,49.4602565,41.5027969,23.343,26.934
3051.29,173.81,49.4680946,41.5130564,23.632,23.87
3702.44,1896.89,49.4401334,41.4983582,23.212,24.7
1465.59,145.46,49.4613097,41.5344898,23.36,27.08
1933.93,1275.07,49.4431635,41.5242959,23.211,24.944
1757.41,2377.42,49.422541,41.5228688,23.415,26.733
1643.49,322.66,49.4589434,41.5314857,23.362,26.787
3714.56,1123.65,49.4540798,41.5008603,23.471,26.987
2499.46,3444.2,49.4067951,41.5092036,23.407,24.859
4037.03,521.3,49.466384,41.4985964,23.39,24.856
3120.07,3471.81,49.4091605,41.5007593,23.639,27.878
543.46,3621.6,49.394584,41.534904,23.666,27.501
1102.06,2798.34,49.4119558,41.5302326,23.593,26.793
1971.28,3194.08,49.4088532,41.5171727,23.529,26.059
2314.84,1381.93,49.4429971,41.5188026,23.6,24.966
979.95,3883.42,49.3918937,41.5281276,23.803,28.042
1620.33,2575.51,49.4183497,41.5240294,23.824,27.669
427.03,3440.5,49.3973013,41.5370959,23.708,26.682
909.62,2901.95,49.4092064,41.5324637,23.628,25.053
223.41,2840.07,49.4071531,41.5419089,23.678,26.485
3163.28,354.82,49.4653572,41.5109262,23.87,27.507
1927.31,3190.4,49.4087165,41.5177769,23.8,25.456
1326.24,916.69,49.4468062,41.5337073,23.802,25.275
2493.54,3890.51,49.3987502,41.5077418,24.041,27.812
314.87,151.36,49.4559073,41.5499522,24.111,27.633
3226.5,2060.22,49.435008,41.5041983,23.992,25.263
3027.57,1375.7,49.4463901,41.5092348,23.964,25.595
1046.76,4071.85,49.3888162,41.5265778,23.976,25.419
2354,873.52,49.4523133,41.520028,24.035,26.715
1480.57,556.14,49.4539971,41.5328734,24.022,25.374
340.76,66.47,49.4575527,41.5498963,24.034,25.373
3323.77,4165,49.3976491,41.495625,24.184,26.865
3807.42,1751.19,49.4432339,41.4974481,24.07,25.425
1136.89,880.02,49.4465934,41.5363813,24.11,25.459
1121.06,4017.14,49.3901422,41.5257673,24.082,25.624
3469.84,1277.55,49.4501889,41.5036226,24.126,25.553
2633.15,1512.15,49.4421228,41.5140711,24.16,25.533
3181.35,4043.06,49.3991824,41.4979621,24.202,25.554
1964.35,2849.22,49.4150174,41.5184565,24.326,27.667
1392.83,4087.54,49.3901317,41.5218682,24.154,25.948
830.16,847.44,49.4457665,41.5406204,24.211,25.631
2950.16,3644.35,49.4052778,41.5024493,24.411,27.693
415.35,20.14,49.458729,41.5490524,24.483,25.327
467.77,1510.85,49.432172,41.5432086,24.377,26.182
2344.52,914.99,49.4515244,41.5200127,24.411,26.638
2810.94,992.05,49.4522863,41.5134716,24.63,25.646
2707.14,545.99,49.4598239,41.5164051,24.53,25.926
783.94,1347.8,49.4365596,41.5395172,24.569,25.969
119.03,1175.08,49.4366009,41.5490585,24.717,27.896
1176,2998.01,49.4087087,41.5285485,24.597,25.922
1793.41,748.76,49.4519751,41.5280005,24.614,25.938
795.43,1087.34,49.4412943,41.5402607,24.659,26.139
2199.05,1485.89,49.4405958,41.5200021,24.653,26.112
470.65,340.91,49.4532167,41.5472031,24.661,26.216
1788.94,351.09,49.4591017,41.5294308,24.703,26.273
176.94,3326.42,49.3981974,41.5408543,24.903,25.753
4161.12,4121.34,49.4022943,41.4845113,25.063,25.644
3732.34,734,49.4611617,41.5019634,25.21,25.525
1077,4000.56,49.3902368,41.5264173,24.763,26.235
2014.94,1302.32,49.4430468,41.523112,24.811,26.259
933.5,1919.85,49.4269669,41.535532,24.846,26.5
