x,y,RA,DEC,F814W,F475W
269.601,2555.97,49.498467,41.4458146,24.816,26.15
1516.142,3870.195,49.5211551,41.4272778,25.03,26.918
906.126,2463.243,49.5102879,41.4469567,25.441,27.1
830.655,2816.659,49.5087815,41.4420662,25.167,26.476
899.74,3710.94,49.5098281,41.4296766,22.036,25.176
3556.58,1668.21,49.5596841,41.4574233,22.209,25.419
1039.21,3176.9,49.5125752,41.4370607,22.117,25.212
4061.02,1442.03,49.5691032,41.460444,22.331,26.764
3090.08,4116.71,49.5502689,41.4235318,22.282,23.398
2380.02,3858.1,49.5371994,41.4272899,22.171,25.447
2885.59,3292.26,49.5467407,41.435029,22.285,25.9
1590.74,617.49,49.5235828,41.4724758,22.322,26.403
2592.71,4015.28,49.5410894,41.4250573,22.369,25.694
886.86,2652.95,49.5099135,41.4443718,22.476,26.187
204.81,2937.51,49.4971915,41.440576,22.321,24.688
1398.76,3299.96,49.5191975,41.4352689,22.767,27.513
1797.81,2905.84,49.5267113,41.4406496,22.666,26.49
491.63,1597.42,49.5029132,41.4591205,22.57,25.907
2326.77,3162.27,49.5364301,41.4369653,22.563,25.718
542.26,263.23,49.5042584,41.4776368,22.628,26.185
2141.88,1444.64,49.5335399,41.4608611,22.749,26.596
2522.64,1081.68,49.5407092,41.4658124,22.616,24.244
1665.2,1976.11,49.5245423,41.4535915,22.752,26.31
3012.84,1446.78,49.5496786,41.460627,22.715,25.78
3531.42,693.53,49.5595268,41.4709645,22.759,24.261
1716.19,3017.46,49.5251647,41.4391185,22.973,27.318
1818.88,3837.73,49.5268129,41.4277036,22.836,26.282
374.48,1592.89,49.5007438,41.4592101,22.754,24.539
2127.5,3605.67,49.532601,41.4308544,22.938,26.589
715.09,556.03,49.5073724,41.4735311,22.885,26.249
2926.54,2343.3,49.5477975,41.4481975,22.962,26.501
528.32,3476.51,49.5030202,41.4330171,23.121,27.111
2499.63,2458.37,49.5398522,41.4466998,22.881,24.565
3972.72,3837.63,49.566704,41.4271978,23.041,26.816
3239.65,335.65,49.5542324,41.4760035,23.024,26.541
3869.66,1836.07,49.5654319,41.4550177,23.396,23.726
1153.12,3882.94,49.5144683,41.4272297,22.965,26.156
3558.04,2005.41,49.5596043,41.4527403,23.223,27.569
4015.77,2865.46,49.567811,41.4406879,22.999,25.787
453.5,2500.82,49.5019315,41.4465836,23.066,26.542
3321.21,3505.43,49.5547424,41.4319659,23.295,28.073
2086.04,2660.11,49.5321271,41.443995,23.087,26.371
2596.19,2904,49.5415016,41.4404888,23.051,24.465
1635.32,702.57,49.5243827,41.471284,23.135,26.552
1056.84,2250.1,49.5131862,41.4499271,23.052,25.729
2527.92,1364.26,49.5407186,41.461887,23.251,27.196
863.02,129.89,49.5102447,41.479415,23.09,24.555
1473.4,1945.25,49.5209981,41.4540645,23.13,26.216
1462.5,2566.02,49.5206046,41.4454464,23.304,27.037
758.76,370.09,49.5082387,41.4761033,23.189,26.353
2606.6,2108.67,49.5419435,41.451531,23.234,26.736
3452.88,906.24,49.5580038,41.4680293,23.234,26.58
2983.57,2755.87,49.5487243,41.4424547,23.275,26.613
2593.23,666.01,49.5421476,41.4715682,23.336,27.004
810.05,3848.21,49.508125,41.4277909,23.198,24.931
571.45,1095.64,49.5045454,41.4660704,23.259,25.83
2050.98,1134.27,49.5319521,41.4651924,23.49,27.348
1598.61,2637.19,49.5231042,41.4444265,23.453,26.918
322.79,3292.17,49.4992693,41.435624,23.402,25.091
3390.28,3904.07,49.5558958,41.4264137,23.401,25.101
2762.71,3180.03,49.5444998,41.4366164,23.701,27.747
369.1,1062.72,49.5008054,41.4665738,23.652,27.423
2016.92,3222.55,49.5306718,41.4362005,23.475,25.136
1064.55,1752.21,49.5134819,41.4568395,23.498,25.208
1033.59,1851.76,49.5128777,41.4554642,23.661,24.692
3871.29,4219.7,49.564704,41.4219163,23.614,26.705
2496.65,2218.92,49.5398719,41.4500257,23.987,24.298
473.34,1846.56,49.5024984,41.4556648,23.585,25.012
2321.39,1564.43,49.536829,41.4591556,23.642,25.01
4078.15,630.09,49.5696797,41.4717152,23.729,27.074
2101.31,837.54,49.5329771,41.4693013,23.866,27.955
3427.95,4020.74,49.5565565,41.4247846,23.634,25.403
3806.15,536.85,49.5646683,41.4730749,23.694,25.31
845.64,1606.01,49.5094704,41.4589201,23.749,25.198
4045.41,3989.51,49.5680019,41.4250713,23.731,25.457
773.53,1292.73,49.5082301,41.4632872,23.812,25.272
1417.41,280.55,49.5204743,41.477195,23.919,25.488
3094.08,4050.22,49.5503639,41.4244542,23.919,25.289
1797.3,2418.95,49.5268527,41.4474111,23.932,25.389
445.76,2578.82,49.5017643,41.4455022,23.906,25.254
3683.69,3565.29,49.5614373,41.4310486,24.051,27.194
537.97,2339.93,49.5035454,41.4487986,24.218,28.004
1686.13,2031.28,49.5249131,41.4528205,24.224,27.612
1853.56,887.94,49.5283699,41.4686591,24.063,25.721
289.43,2499.8,49.4988921,41.4466352,24.246,27.457
328.4,3589.01,49.499283,41.4315005,24.243,27.5
2803.38,3807.63,49.5450562,41.4278915,24.19,26.902
661.06,3093.38,49.5055959,41.4383073,24.13,25.66
2797.37,567.93,49.5459618,41.4728823,24.135,25.613
2466.26,3654.14,49.5388604,41.4301021,24.728,24.774
4001.87,4048.2,49.5671769,41.4242667,24.193,25.535
1208.96,3834.14,49.5155176,41.4278946,24.12,25.854
3908.74,3757.01,49.5655447,41.4283326,24.322,25.321
62.88,1147.8,49.4951047,41.465462,24.275,25.68
1540.79,1382.49,49.5224206,41.4618639,24.287,25.962
2050.72,4062.92,49.5310368,41.4245225,24.335,25.868
4138.81,2727.68,49.5701343,41.4425718,24.373,26.089
3852.55,4219.2,49.5643571,41.4219277,24.353,25.774
672.53,2981.24,49.5058426,41.439862,24.376,25.748
1428.53,2725.71,49.519926,41.4432366,24.435,25.966
1187.26,2067.24,49.5156588,41.4524365,24.394,25.818
2900.52,3099.38,49.5470778,41.437704,24.442,25.866
2116.26,552.88,49.5333428,41.4732509,24.473,25.994
2631.21,81.75,49.5430346,41.4796729,24.551,26.047
3061.11,4073.19,49.5497461,41.4241429,24.508,26.282
3013.48,4082.81,49.548861,41.4240206,24.527,26.003
3263.24,835.19,49.5545118,41.4690609,24.533,26.188
2564.9,4061.98,49.5405598,41.4244153,24.689,27.844
756.37,201.01,49.5082461,41.4784518,24.524,25.991
1489.82,3500.38,49.5208224,41.4324646,24.565,26.135
2776.22,2682.29,49.5449062,41.4435253,24.584,26.093
3540.55,2039.3,49.5592695,41.4522738,24.613,26.287
4048.91,2703.22,49.5684767,41.442933,24.738,26.468
3431.67,3694.97,49.5567284,41.4293076,24.667,26.042
3093.59,4157.96,49.5503209,41.4229581,24.588,25.981
407.75,3899.99,49.5006581,41.4271638,24.609,26.358
4138.1,2086.82,49.5703257,41.4514715,24.655,26.085
4043.16,276.85,49.5691439,41.4766289,24.65,26.548
3382.32,2063.28,49.5563302,41.4519784,24.712,26.632
1692.9,3287.06,49.5246499,41.43538,24.688,26.214
1523.69,3829.29,49.5213482,41.4278892,24.733,26.093
2306.53,1940.84,49.5364362,41.4539319,24.714,26.647
1503.46,1848.81,49.5215848,41.4553968,24.713,26.542
3379.37,3284.62,49.5558894,41.4350185,24.733,26.508
2280.2,126.74,49.5365143,41.4791303,24.78,26.203
1358.62,928.39,49.5191848,41.4682121,24.746,26.399
2873.72,1021.92,49.5472342,41.4665598,24.904,25.825
1330.47,3742.34,49.5177963,41.4291414,24.856,26.756
946.57,1374.43,49.5114117,41.4621129,24.829,26.161
3866.69,3069.97,49.5649843,41.4378835,24.835,26.237
880.21,1149.38,49.5102509,41.4652534,25.036,25.702
561.71,465.14,49.5045573,41.4748284,24.841,26.391
1230.44,3760.7,49.515938,41.4289095,24.856,26.2
2782.13,236.14,49.5457836,41.4774934,24.871,26.289
1785.32,293.63,49.5272896,41.4769281,24.877,26.337
1765.44,2637.52,49.5261947,41.4443832,24.925,26.77
2541.15,3866.1,49.5401812,41.4271411,24.935,26.149
2206.18,3344.77,49.5341395,41.4344591,24.915,26.347
3961.51,1265.45,49.5673155,41.4629199,24.902,26.536
3656.3,378.07,49.5619414,41.4753156,24.933,26.47
1855.59,1612.73,49.5281827,41.4585935,25.26,25.872
3159.88,3978.89,49.551605,41.4254292,24.926,26.74
4060.32,288.03,49.5694584,41.4764696,25.006,26.54
1422.64,1989.03,49.5200441,41.4534682,24.994,26.636
2587.06,389.02,49.54212,41.4754162,25.125,25.939
2861.56,4015.35,49.5460686,41.4249932,24.983,26.485
498.62,3758.04,49.5023844,41.4291143,24.971,26.424
3172.44,4167.49,49.5517782,41.4228071,25.003,26.437
1685.34,1974.49,49.524916,41.4536093,25.038,26.394
3094.8,4149.89,49.5503459,41.4230699,24.916,26.488
2409.65,2991.38,49.5380187,41.439319,25.046,26.541
4093.85,235.93,49.5700965,41.4771851,25.03,26.411
3066.1,4049.42,49.549846,41.4244719,25.039,26.387
2619.39,1829.03,49.542268,41.4554113,25.09,26.85
3463.34,3596.8,49.5573461,41.4306634,25.074,26.862
3435.95,3992.17,49.5567137,41.4251794,25.118,26.671
1703.74,1713.93,49.5253376,41.4572234,25.157,26.734
2985.88,4110,49.5483413,41.4236495,25.145,26.492
1426.64,1408.14,49.5202974,41.4615341,25.169,26.643
2237.68,2321.72,49.5350418,41.4486588,25.147,26.534
2952.56,735.9,49.5487852,41.4705131,25.319,26.276
844.56,4037.18,49.5087063,41.4251587,25.179,26.764
3094.41,4012.54,49.5503819,41.4249773,25.242,27.055
2730.14,169.23,49.5448409,41.4784348,25.225,27.576
1566.16,1944.53,49.522717,41.454053,25.243,26.991
772.26,3613.25,49.5074969,41.4310624,25.345,26.165
2078.76,229.08,49.5327486,41.4777562,25.21,26.737
1182.91,1190.49,49.5158478,41.4646129,25.262,27.444
2871.21,1935.75,49.5469004,41.4538701,25.29,27.605
2766.18,184.35,49.5455042,41.4782163,25.343,27.886
1149.96,874.38,49.5153344,41.4690103,25.274,26.777
3545.74,2631.75,49.5591779,41.4440453,25.27,26.962
2496.73,599.06,49.54038,41.4725206,25.361,27.724
650.19,2278.77,49.5056432,41.4496223,25.287,27.05
2901.62,3930.43,49.5468372,41.426163,25.292,26.701
3151.37,998.56,49.552387,41.4668187,25.269,26.896
3286.57,3929.84,49.5539668,41.4260804,25.308,26.719
2371.91,96.78,49.5382236,41.4795249,25.598,26.205
3388.26,3623.69,49.5559469,41.4303077,25.302,27.059
2157.03,3390.98,49.5332148,41.4338289,25.346,27.019
936.96,2966.15,49.5107457,41.4400109,25.363,27.143
1867.35,153.09,49.5288536,41.4788607,25.36,26.755
2064.2,1215.41,49.5321718,41.4640625,25.366,27.315
2557.25,604.21,49.5415001,41.4724349,25.367,26.86
806.18,1269.55,49.5088422,41.4636016,25.392,27.105
2293.33,3480.72,49.5357114,41.4325508,25.381,26.83
1539.71,3270.86,49.5218173,41.4356404,25.397,26.9
824.37,3096.61,49.5086201,41.438225,25.405,27.146
3068.94,4010.68,49.5499108,41.4250092,25.387,26.815
2814.47,3970.96,49.5452104,41.4256207,25.429,26.885
3077.22,2840.92,49.5504324,41.4412515,25.449,27.378
1503.42,1416.99,49.5217175,41.4613934,25.43,27.114
1629.84,721.6,49.5242753,41.471021,25.426,26.88
2712.27,3726.26,49.5433943,41.4290429,25.449,26.798
3664.31,3930.8,49.5609625,41.4259774,25.571,26.381
2094.46,130.04,49.5330704,41.4791279,25.456,26.935
3907.12,1283.81,49.5663018,41.4626779,25.724,26.408
3653.42,1625.77,49.5614919,41.4579896,25.589,27.695
561.94,27.02,49.5046953,41.4809125,25.502,26.721
3442.2,776.25,49.557847,41.469837,25.606,27.305
302.23,1439.84,49.4994515,41.461352,25.587,27.755
1604.32,3433.38,49.5229639,41.4333685,25.495,27.1
3069.26,4069.79,49.5498981,41.4241882,25.485,27.054
3390.31,3271.24,49.5560963,41.4352017,25.524,27.268
1044.27,2209.59,49.5129657,41.4504926,25.546,27.408
586.97,2489.67,49.5044076,41.446708,25.474,27.364
2649.38,3197.55,49.542395,41.4363998,25.538,26.923
3973.06,971.39,49.5676233,41.4670007,25.523,27.014
632.22,1424.13,49.5055713,41.4614948,25.522,27.253
2895.3,2931.29,49.547034,41.4400395,25.527,27.165
2545.3,364.57,49.5413536,41.4757655,25.558,26.97
3042.98,4014.84,49.5494287,41.4249575,25.538,27.113
753.96,2115.88,49.5076156,41.4518606,25.609,27.216
724.68,3973.93,49.5065054,41.4260646,25.599,27.264
1773.26,4033.68,49.5259073,41.424993,25.635,27.022
2325.14,2528.74,49.5365976,41.4457635,25.618,27.279
2979.83,4122.94,49.5482252,41.4234712,25.533,27.14
3674.9,3204.33,49.561389,41.4360633,25.648,27.245
3238.34,653.13,49.5541078,41.471595,25.682,26.895
3963.86,2843.33,49.5668565,41.4410076,25.64,26.86
2368.23,3853.29,49.5369825,41.4273595,25.605,27.158
2148.84,3571.61,49.5330069,41.4313224,25.916,26.387
337.08,3354.92,49.4995149,41.4347493,25.66,27.82
2947.17,3919.05,49.5476844,41.4263103,25.616,27.296
3499.46,947.98,49.5588538,41.4674386,25.636,27.137
3419.66,4192.69,49.5563487,41.4223987,25.641,27.366
3166.85,3748.54,49.5518067,41.4286264,25.661,27.204
210.99,392.6,49.4980789,41.4759158,25.76,26.648
2633.81,2667.27,49.5422727,41.4437674,25.701,27.361
245.71,956.64,49.498551,41.4680751,25.859,27.466
3103.23,4030.4,49.5505396,41.4247272,25.705,26.95
3684.03,1672.13,49.5620444,41.4573386,25.611,27.281
4007.9,2729.46,49.5677086,41.4425784,25.849,27.541
852.66,203.92,49.51003,41.4783893,25.711,27.028
1820.28,1026.17,49.5277103,41.4667472,25.788,26.841
356.93,735.42,49.5006795,41.4711218,25.703,27.233
974.48,1716.74,49.5118239,41.4573528,25.773,27.601
1486.55,4020.04,49.5206015,41.4252489,25.766,26.799
3427.06,1319.15,49.5573946,41.4623014,25.827,28.092
3101.85,3891.2,49.5505579,41.4266606,25.782,27.253
4085.77,250.2,49.5699422,41.4769888,25.794,27.042
3003.29,145.58,49.5499113,41.4786989,25.776,27.794
943.52,105.73,49.5117443,41.479732,25.842,27.294
1296.12,3527.86,49.5172261,41.4321278,25.787,27.223
2893.58,1782.58,49.5473631,41.4559919,25.926,27.213
1152.04,832.38,49.5153859,41.469593,25.806,27.647
3018.97,4018.62,49.5489828,41.4249107,25.796,27.473
3441.32,2978.3,49.5571338,41.4392576,26.318,26.699
1539.54,1436.89,49.5223806,41.4611087,25.874,27.931
3409.3,1081.6,49.5571407,41.4656044,25.902,27.412
4133.94,3113.58,49.5699209,41.437214,25.855,27.424
505.17,1136.42,49.5033047,41.4655193,25.964,27.887
3192.88,3237.62,49.5524499,41.4357153,25.846,27.322
3177.32,990.13,49.5528705,41.4669296,25.924,27.477
758.19,1042.83,49.5080222,41.4667611,25.93,26.844
2017.4,4016.5,49.5304341,41.4251748,25.84,27.454
3019.34,2817.46,49.5493676,41.441591,25.865,27.277
1899.15,4134.98,49.5282074,41.423557,25.833,27.625
2964.2,3479.87,49.5481378,41.4324052,25.999,27.506
501.43,4039.69,49.5023506,41.4252024,25.899,27.488
2875.72,2833,49.5467021,41.441409,25.846,27.489
282.81,3570.41,49.4984442,41.4317691,25.906,27.448
3081.72,4159.1,49.5501008,41.4229451,25.864,27.386
2702.55,2193.78,49.5436945,41.4503265,25.968,27.509
47.43,318.84,49.4950697,41.4769773,25.911,27.305
1265.17,2604.38,49.516937,41.4449592,25.929,27.627
2051.07,599.85,49.53212,41.4726138,26.251,26.83
3079.39,3040.34,49.5504098,41.4384817,26.009,27.009
2584.26,3908.96,49.5409662,41.4265358,25.941,27.236
2601.23,245.12,49.5424277,41.4774112,25.969,27.447
1521.75,3315.23,49.5214709,41.4350284,25.996,27.14
2230.01,130.67,49.5355828,41.4790875,26.061,27.942
1641.74,2022.54,49.5240933,41.4529521,26.104,27.622
381.1,2291.03,49.500654,41.4495135,26.211,26.887
2621.45,3890.11,49.5416609,41.4267888,26.054,27.937
2284.82,2823.01,49.5357588,41.4416864,26.347,26.701
3097.81,4071.11,49.5504264,41.4241632,26.469,26.824
3248.85,2320.67,49.553776,41.4484356,26.029,27.751
3546.04,3674.95,49.5588531,41.4295585,25.843,27.412
2282.13,3801.77,49.5354039,41.428095,26.049,27.521
823.64,1717.47,49.5090286,41.4573773,26.034,27.413
1461.81,4051.73,49.5201335,41.4248145,26.239,27.156
4173.67,3219.82,49.5706229,41.4357292,26.261,26.981
3574.38,3692.27,49.5593725,41.4293112,26.056,27.461
2215.7,2918.49,49.5344486,41.4403766,26.2,27.658
3180.25,4007.55,49.5519733,41.4250264,26.152,27.468
2320.98,253.55,49.5372306,41.4773598,26.119,27.339
179.47,102.4,49.4975828,41.479953,26.184,27.388
3467.27,906.08,49.5582705,41.4680281,26.734,26.95
1975.47,886.09,49.5306299,41.4686564,26.827,26.896
1494.03,3371.97,49.52094,41.4342469,26.312,27.88
2805.38,1279.31,49.5458868,41.4630015,26.389,27.419
2835.37,376.92,49.5467261,41.4755258,26.403,26.968
3268.07,4165.39,49.5535499,41.4228137,26.199,27.383
1710.5,187.29,49.5259357,41.4784222,26.212,27.505
2879.01,3794.07,49.5464612,41.428062,26.243,27.57
1751.09,3550.27,49.5256463,41.4317113,26.204,27.603
2379.68,3881.37,49.5371858,41.4269668,26.282,27.593
3151.95,4072.37,49.5514287,41.4241329,26.297,27.854
1225.62,2593.42,49.5162077,41.4451206,26.429,27.592
289.91,464.84,49.4995197,41.4748946,26.874,27.253
188.48,2766.13,49.496941,41.4429597,26.588,27.907
3663.3,465.44,49.5620434,41.4741006,26.4,28.028
754.8,2606.99,49.507481,41.4450403,26.825,27.216
3889.97,1300.97,49.5659785,41.4624437,26.481,27.573
3877.26,1192.51,49.5657775,41.4639529,26.409,27.652
4067.27,234.62,49.5696043,41.4772096,26.598,27.576
1334.69,147.56,49.5189821,41.479061,26.78,27.11
2476.59,2628.08,49.5393723,41.4443485,26.462,27.769
2417.25,242.61,49.5390184,41.4774892,26.451,27.963
431.11,3716.47,49.5011466,41.429707,26.458,27.929
2819.57,587.58,49.5463671,41.4726042,26.838,27.17
1162.02,3583.53,49.5147252,41.4313856,26.763,27.806
2710.61,2946,49.5436081,41.4398786,26.512,27.692
1608.09,4037.55,49.5228471,41.4249776,26.792,27.594
3021.61,1800.72,49.5497296,41.4557098,27.007,28.111
1124.62,999.38,49.5148264,41.4672802,26.51,27.847
